variance	variance_mc	inverse_trace	inverse_trace_mc	log_det	log_det_mc	num_eigenvalues	combination	n_unique	cos	cos_std	n_parcel	n_task
0.04868093993181388	0.021040877232317262	-5593.2501373438545	-1000000003703.2384	-40.54669790651077	-63.472111545352185	7	(1, 2, 15, 19, 21, 23, 24)	7	0.769923985004425	0.07687027752399445	2	7
0.04107788908012196	0.01877378774493447	-3959.591954969505	-1000000002865.4601	-40.44487741539623	-63.35925592529385	7	(1, 3, 8, 10, 18, 23, 27)	7	0.8028830885887146	0.07049544900655746	2	7
0.033624883308478896	0.009426628911348864	-1000000004764.2784	-2000000004012.2764	-64.19840239288617	-87.64927048497151	7	(0, 1, 7, 11, 14, 21, 22)	7	0.7897126078605652	0.0776001513004303	2	7
0.03498460455523197	0.013341966659304306	-12905.955174985595	-1000000012571.2134	-44.99735283734149	-68.15944257429139	7	(1, 5, 11, 12, 13, 19, 21)	7	0.7777547240257263	0.07407304644584656	2	7
0.03182296914239451	0.010673736668674595	-13978.851157672261	-1000000009101.0741	-45.941247776126175	-68.1618217514424	7	(0, 5, 9, 14, 22, 26, 27)	7	0.7800069451332092	0.07417013496160507	2	7
0.036290602983114345	0.016168554043157805	-9206.13358484787	-1000000008705.8397	-43.45015420047602	-66.41084526439897	7	(4, 5, 10, 12, 18, 19, 20)	7	0.7765511870384216	0.07015863060951233	2	7
0.03604428360312343	0.011822833084640877	-1000000009514.6846	-2000000008242.8726	-66.05500780927389	-88.94480299722338	7	(5, 6, 9, 11, 12, 18, 19)	7	0.7796236872673035	0.07028066366910934	2	7
0.043591835172836435	0.017757304520940348	-6666.9149225126075	-1000000005169.5479	-41.81269717434114	-64.85916337345905	7	(1, 3, 7, 15, 16, 21, 24)	7	0.7901945114135742	0.07861199229955673	2	7
0.034526266276274115	0.01653833235601956	-5735.20288563326	-1000000005148.9926	-42.8221772556693	-65.62884120560685	7	(0, 9, 10, 15, 20, 21, 26)	7	0.7843725085258484	0.07757537811994553	2	7
0.03520356698706483	0.013593597250631445	-1000000007213.9767	-2000000005699.9937	-64.14998141041161	-87.1614017383062	7	(1, 3, 5, 6, 10, 21, 24)	7	0.7892170548439026	0.07553347945213318	2	7
