variance	variance_mc	inverse_trace	inverse_trace_mc	log_det	log_det_mc	eigenvalues	num_eigenvalues	n_tasks	combination	n_unique	combination_tuple	cos
0.03473599159097979	0.031016687359930024	-777.4462273606098	-499.7567476922669	-20.170555134950327	-14.552486237747704	[0.020479583730790264, 0.007363789842669385, 0.003173313786470377]	3	4	(0, 8, 11, 17)	4	(0, 8, 11, 17)	0.825639795364404
0.05375286772839659	0.042455774813445694	-455.5820696043617	-254.2511430418033	-18.030414146728656	-13.070422674866892	[0.0234388733531372, 0.010238634541753387, 0.008778266918555109]	3	4	(2, 3, 8, 20)	4	(2, 3, 8, 20)	0.9195596291200113
0.041174050110498864	0.02968502502680532	-1172.5882741247608	-843.4675842095244	-20.980899878910204	-15.535634382617902	[0.023609828989879317, 0.004319608519333119, 0.001755587517592881]	3	4	(10, 16, 17, 27)	4	(10, 16, 17, 27)	0.8651573517588952
0.03870135966813764	0.031612769610544544	-519.7858114176844	-334.35809904463537	-19.02596539697398	-13.904955077467402	[0.016288373220093744, 0.009264909694990907, 0.006059486695459891]	3	4	(3, 12, 16, 27)	4	(3, 12, 16, 27)	0.8276216995876046
0.027162734108498707	0.021735058094808336	-981.5222606684065	-569.240168459987	-21.036423674628782	-15.309321747450156	[0.013500137621712607, 0.004685686858713204, 0.0035492336143825216]	3	4	(9, 15, 21, 25)	4	(9, 15, 21, 25)	0.8700580550342686
0.031209635822707388	0.025573166937033265	-1511.6817125695088	-1306.6850398445176	-21.68391825863524	-16.428716323944336	[0.021222906315650533, 0.0033053580854352027, 0.0010449025359475282]	3	4	(6, 8, 11, 16)	4	(6, 8, 11, 16)	0.8150112886066561
0.06376407130729876	0.05278741583828871	-387.63662669528793	-240.77086965870035	-17.499256688360305	-12.626222106372616	[0.0302031941702097, 0.015623039284651304, 0.006961182383427705]	3	4	(4, 15, 23, 28)	4	(4, 15, 23, 28)	0.844193046194072
0.03530895893075903	0.0297047219828514	-680.6807630414626	-389.552073473919	-19.763754492436924	-14.257120785011537	[0.0174787747688267, 0.006875180064299527, 0.005350767149725177]	3	4	(0, 10, 12, 18)	4	(0, 10, 12, 18)	0.8277548089676753
0.046296017298366535	0.03266912612465752	-578.4769634249142	-364.23627392010667	-18.944119504396554	-13.945830399446475	[0.01657183431222218, 0.011485275897886112, 0.004612015914549229]	3	4	(0, 2, 4, 10)	4	(0, 2, 4, 10)	0.9188983736836936
0.03690335442971317	0.030586919136270836	-690.5432369033979	-466.16924618151893	-19.745510907332218	-14.50835100918544	[0.02032723230805615, 0.006437590740407774, 0.003822096087806912]	3	4	(14, 18, 21, 28)	4	(14, 18, 21, 28)	0.8087979317727038
