variance	variance_mc	inverse_trace	inverse_trace_mc	log_det	log_det_mc	eigenvalues_pre	eigenvalues	num_eigenvalues	n_tasks	combination	n_unique	combination_tuple	cos
0.05479038626606384	0.04840717455173235	-1000000004167.5848	-2000000003676.6023	-65.3859175866414	-87.79714839976953	[0.02447626785757227, 0.010066441345691114, 0.006923614850577986, 0.005883404005068912, 0.0038911121019838853, 0.0032317386449480035, 0.00031780745922167287, 1e-12]	[0.02423208788031618, 0.009981271163537501, 0.0064370765656529055, 0.004169604774325379, 0.003233869521764528, 0.0003532646441358532, 1e-12, 1e-12]	8	8	(0, 5, 5, 7, 16, 22, 25, 27)	7	(0, 5, 5, 7, 16, 22, 25, 27)	0.8145920529688674
0.07272403212924852	0.0511199807349805	-2000000001875.6445	-3000000001608.5977	-85.72551850779497	-108.76186822216023	[0.03610119881256278, 0.02145371883632141, 0.0078041096366558834, 0.0035313990728106396, 0.002873978866886713, 0.0009596269020110928, 1e-12, 1e-12]	[0.025993255920861442, 0.016880654546510093, 0.0042970769933715885, 0.002873979517659278, 0.0010750137535781037, 1e-12, 1e-12, 1e-12]	8	8	(6, 8, 15, 15, 16, 19, 21, 21)	6	(6, 8, 15, 15, 16, 19, 21, 21)	0.8088796479950083
0.07577246038152875	0.061129881081701434	-1000000001584.6593	-2000000001320.4714	-62.63819847587288	-85.25580464265593	[0.02901952148503532, 0.02394960046601671, 0.00883209266121559, 0.005179281466700038, 0.004515738357454377, 0.002597606356169874, 0.001678619587936834, 1e-12]	[0.028407115865313363, 0.014563872775145432, 0.00821616762446076, 0.004931509474145025, 0.003318535326937628, 0.0016926800136992186, 1e-12, 1e-12]	8	8	(2, 4, 6, 7, 9, 26, 28, 28)	7	(2, 4, 6, 7, 9, 26, 28, 28)	0.8241833903982231
0.08909102011749681	0.07795773836683399	-2000000000939.8044	-3000000000557.029	-83.02267494878132	-105.2610739901001	[0.04103385653103889, 0.020494212417668092, 0.013431923996977901, 0.006438698441711558, 0.00549383774992636, 0.0021984909781740027, 1e-12, 1e-12]	[0.03871491625461346, 0.0203878979000948, 0.006963773056370275, 0.006421082807505406, 0.005470068345250053, 1e-12, 1e-12, 1e-12]	8	8	(1, 2, 12, 21, 21, 21, 23, 25)	6	(1, 2, 12, 21, 21, 21, 23, 25)	0.8556371365131028
0.10333333186884419	0.09253111955947764	-6028.856090214298	-1000000005508.8157	-44.10820357702326	-66.1530493385335	[0.05032104529884302, 0.03467085765552391, 0.007527273164858463, 0.005894912136827456, 0.002091178918625831, 0.0015842528501105809, 0.0009602745229848054, 0.0002835373210701257]	[0.0450317550833155, 0.03423497445672579, 0.006880816506806911, 0.003312704927796334, 0.0016729574860967417, 0.001113357082347679, 0.0002845540153886631, 1e-12]	8	8	(6, 8, 17, 18, 19, 22, 23, 28)	8	(6, 8, 17, 18, 19, 22, 23, 28)	0.7580232748154154
0.09520939276652865	0.08586572026613093	-1000000001691.0743	-2000000001474.1182	-61.89903444389101	-84.37739308666673	[0.03881890175096045, 0.028784404468652883, 0.013463534970368491, 0.006167787462630946, 0.0035039276787574613, 0.0032176864403512103, 0.0012531499938072102, 1e-12]	[0.03569389053599475, 0.028539484063006056, 0.012968170240878048, 0.004119253768123274, 0.003271944545095912, 0.0012729771110329031, 1e-12, 1e-12]	8	8	(2, 8, 14, 15, 18, 18, 21, 28)	7	(2, 8, 14, 15, 18, 18, 21, 28)	0.7815528184312533
0.06488779992943457	0.06115904522137494	-1000000001955.7147	-2000000001442.167	-63.61242104800787	-85.23932974958433	[0.024987982809059145, 0.01566861088815104, 0.00996868936327925, 0.00783361844302929, 0.0034194653372347805, 0.0015673537596572885, 0.0014420793280237809, 1e-12]	[0.024709805624102663, 0.015667838370960856, 0.009764690473923386, 0.007124564120266187, 0.002428839922971356, 0.0014633067071504874, 1e-12, 1e-12]	8	8	(0, 1, 3, 8, 9, 9, 18, 25)	7	(0, 1, 3, 8, 9, 9, 18, 25)	0.810088315470205
0.058653418319778126	0.0525704996868836	-1000000001860.6439	-2000000001430.98	-64.14537437119202	-86.0409546550808	[0.02460496063203966, 0.015534319820268936, 0.00672028150791549, 0.004791491156905973, 0.003033829832295767, 0.002456727579385874, 0.001511807789966425, 1e-12]	[0.023754195047890947, 0.013646963718224665, 0.006275721098301458, 0.0045468724620148435, 0.002458381606497376, 0.0018883657519543056, 1e-12, 1e-12]	8	8	(4, 8, 10, 12, 12, 16, 21, 26)	7	(4, 8, 10, 12, 12, 16, 21, 26)	0.8054997063399675
0.07799746161981	0.0684155504862112	-2000000002036.2002	-3000000001795.685	-85.31153437295605	-107.73584276986188	[0.03847325971836038, 0.0217559523103929, 0.008903703249752353, 0.00468641401847959, 0.0034360251410135764, 0.0007421071798111959, 1e-12, 1e-12]	[0.03766398935265647, 0.017641391490375018, 0.008541551991530302, 0.003818715209890185, 0.0007499024387592266, 1e-12, 1e-12, 1e-12]	8	8	(3, 3, 5, 19, 19, 21, 22, 24)	6	(3, 3, 5, 19, 19, 21, 22, 24)	0.8174867728325754
0.05819382870976102	0.05113440899881025	-7258.18436730897	-1000000005960.7269	-46.24451373061019	-68.1596483601669	[0.028692093294029983, 0.010585617613120357, 0.007554102860380719, 0.005580373359423589, 0.0037808059849623564, 0.0011729630565936225, 0.0005755184965466399, 0.00025235404470374276]	[0.02694881986654328, 0.00954762164836699, 0.007551509251106649, 0.004849529355396202, 0.0012254527755494635, 0.0007030011418575118, 0.0003084749589901498, 1e-12]	8	8	(0, 5, 10, 11, 14, 17, 25, 27)	8	(0, 5, 10, 11, 14, 17, 25, 27)	0.8229438747582871
