offset	max_var	min_est	log_det	combination	has_repeats	dcbc
1e-06	0.016322183952806334	1003931.0495941199	-50.90627899088146	(5, 14, 21, 1, 26, 16, 21, 23)	1	0.04538238048553467
0.001	0.023315183952806334	3075.5451660601275	-41.22864444458523	(5, 14, 21, 1, 26, 16, 21, 23)	1	0.04538238048553467
0.1	0.7163151839528064	68.42983114470142	-15.95805750827125	(5, 14, 21, 1, 26, 16, 21, 23)	1	0.04538238048553467
1e-06	0.016768520537309633	4167.95649912783	-43.471543325614455	(24, 11, 7, 26, 1, 14, 20, 8)	0	0.04061344265937805
0.001	0.023761520537309632	2412.9910760174002	-40.36661363051924	(24, 11, 7, 26, 1, 14, 20, 8)	0	0.04061344265937805
0.1	0.7167615205373097	68.37588473597341	-15.953115535872199	(24, 11, 7, 26, 1, 14, 20, 8)	0	0.04061344265937805
1e-06	0.014567590421897798	2011988.848554633	-60.2087135978046	(13, 14, 11, 6, 1, 9, 11, 1)	1	0.04209299013018608
0.001	0.021560590421897795	4014.4889518889504	-42.60162037076584	(13, 14, 11, 6, 1, 9, 11, 1)	1	0.04209299013018608
0.1	0.7145605904218977	68.60956140341129	-15.97582829938551	(13, 14, 11, 6, 1, 9, 11, 1)	1	0.04209299013018608
1e-06	0.022398357551943474	1004830.5370113065	-49.89699364395302	(16, 13, 10, 2, 16, 20, 4, 26)	1	0.042705487459897995
0.001	0.029391357551943473	2915.7690330565174	-40.19574050663354	(16, 13, 10, 2, 16, 20, 4, 26)	1	0.042705487459897995
0.1	0.7223913575519435	67.88212604348082	-15.900378868628115	(16, 13, 10, 2, 16, 20, 4, 26)	1	0.042705487459897995
1e-06	0.015080061050721578	1038895.808268803	-54.24583520566081	(3, 25, 4, 19, 4, 26, 22, 5)	1	0.04383254051208496
0.001	0.022073061050721578	3470.937058123703	-41.85265087251929	(3, 25, 4, 19, 4, 26, 22, 5)	1	0.04383254051208496
0.1	0.7150730610507215	68.55097860232564	-15.970325808051339	(3, 25, 4, 19, 4, 26, 22, 5)	1	0.04383254051208496
1e-06	0.020784340493402397	5809.047595915254	-43.87799380278855	(2, 28, 8, 26, 7, 14, 15, 9)	0	0.05071616917848587
0.001	0.027777340493402403	2602.7902648580202	-40.194597394925594	(2, 28, 8, 26, 7, 14, 15, 9)	0	0.05071616917848587
0.1	0.7207773404934025	68.02925797680943	-15.915791754257944	(2, 28, 8, 26, 7, 14, 15, 9)	0	0.05071616917848587
1e-06	0.014815223120361938	8344.275119598267	-45.946364579491885	(20, 7, 12, 16, 26, 18, 19, 0)	0	0.043583016842603683
0.001	0.02180822312036194	2975.060023662848	-41.40045868614512	(20, 7, 12, 16, 26, 18, 19, 0)	0	0.043583016842603683
0.1	0.714808223120362	68.56778382274881	-15.972476235240357	(20, 7, 12, 16, 26, 18, 19, 0)	0	0.043583016842603683
1e-06	0.013236333679361993	7695.8796877600125	-46.30287788269133	(28, 12, 11, 8, 24, 14, 0, 21)	0	0.04319148510694504
0.001	0.020229333679361996	3056.102982790747	-41.75821565716531	(28, 12, 11, 8, 24, 14, 0, 21)	0	0.04319148510694504
0.1	0.713229333679362	68.71464914891584	-15.98770305064303	(28, 12, 11, 8, 24, 14, 0, 21)	0	0.04319148510694504
1e-06	0.014795226791741715	6327.4913767855205	-45.28402779354385	(13, 21, 14, 10, 9, 0, 27, 7)	0	0.04285341128706932
0.001	0.021788226791741715	2843.696056261648	-41.239806250941335	(13, 21, 14, 10, 9, 0, 27, 7)	0	0.04285341128706932
0.1	0.7147882267917418	68.56631163298695	-15.97249742352436	(13, 21, 14, 10, 9, 0, 27, 7)	0	0.04285341128706932
1e-06	0.022954087540075063	1004050.1307316462	-50.66025291500238	(15, 15, 24, 27, 9, 20, 14, 28)	1	0.04938387870788574
0.001	0.029947087540075062	3116.0960584711997	-40.91310576173708	(15, 15, 24, 27, 9, 20, 14, 28)	1	0.04938387870788574
0.1	0.7229470875400751	67.90633190232882	-15.899097915240196	(15, 15, 24, 27, 9, 20, 14, 28)	1	0.04938387870788574
1e-06	0.016432025249516976	1003067.8890848197	-50.124363203895605	(20, 18, 1, 12, 12, 14, 25, 4)	1	0.0470404252409935
0.001	0.02342502524951697	2865.1929320845948	-40.86990503680234	(20, 18, 1, 12, 12, 14, 25, 4)	1	0.0470404252409935
0.1	0.716425025249517	68.41076961304935	-15.95654125501417	(20, 18, 1, 12, 12, 14, 25, 4)	1	0.0470404252409935
1e-06	0.023260226673294405	4693.2629812480245	-42.56814245168282	(23, 8, 28, 26, 3, 15, 0, 14)	0	0.044252704828977585
0.001	0.030253226673294404	2324.5508363784247	-39.40361444784188	(23, 8, 28, 26, 3, 15, 0, 14)	0	0.044252704828977585
0.1	0.7232532266732944	67.7924874995769	-15.891579488462396	(23, 8, 28, 26, 3, 15, 0, 14)	0	0.044252704828977585
1e-06	0.019922167126769474	1032190.192883012	-52.753020518417244	(25, 17, 15, 26, 24, 14, 1, 15)	1	0.046077143400907516
0.001	0.02691516712676948	3225.375915352054	-40.90732303741646	(25, 17, 15, 26, 24, 14, 1, 15)	1	0.046077143400907516
0.1	0.7199151671267695	68.11478201363424	-15.9243818456538	(25, 17, 15, 26, 24, 14, 1, 15)	1	0.046077143400907516
1e-06	0.016809565837178044	1047523.5074083047	-53.90380447240628	(26, 19, 15, 23, 21, 14, 21, 25)	1	0.04661133512854576
0.001	0.023802565837178047	3369.597196670417	-41.46399493843216	(26, 19, 15, 23, 21, 14, 21, 25)	1	0.04661133512854576
0.1	0.716802565837178	68.39112997150625	-15.953700873866302	(26, 19, 15, 23, 21, 14, 21, 25)	1	0.04661133512854576
