n_task	metric	correlation
4	random	0.3467372672246398
4	variance	0.5083450047483596
4	variance_mc	0.6232762102441906
4	log_det_mc	0.6541179905326434
4	inverse_trace_mc	0.6866026625584255
4	random	0.5019695095286152
4	variance	0.5983982334760507
4	variance_mc	0.540706206160708
4	log_det_mc	0.6091765613490562
4	inverse_trace_mc	0.6420932623560807
4	random	0.5819735733265327
4	variance	0.5990461424586523
4	variance_mc	0.5421157577351206
4	log_det_mc	0.627289508673021
4	inverse_trace_mc	0.6243324278297783
4	random	0.5177276892899035
4	variance	0.542808049402289
4	variance_mc	0.5480571346518529
4	log_det_mc	0.5734491749997095
4	inverse_trace_mc	0.6100547704025882
4	random	0.48828070445230914
4	variance	0.5977439513716608
4	variance_mc	0.602885736312563
4	log_det_mc	0.6170125312095563
4	inverse_trace_mc	0.5841931409649577
4	random	0.5459810077232128
4	variance	0.5523262673363614
4	variance_mc	0.5679899382903839
4	log_det_mc	0.5958731057925025
4	inverse_trace_mc	0.6098190356047741
4	random	0.5947160755273572
4	variance	0.5055372735125273
4	variance_mc	0.595214550738272
4	log_det_mc	0.6097312812067749
4	inverse_trace_mc	0.5665458313505086
4	random	0.4356755431473067
4	variance	0.5540004226740806
4	variance_mc	0.5063640398656127
4	log_det_mc	0.5608541566274707
4	inverse_trace_mc	0.6004948120324606
4	random	0.4957710516873523
4	variance	0.531962065803849
4	variance_mc	0.641971385980953
4	log_det_mc	0.6371181779894541
4	inverse_trace_mc	0.6008113257863675
4	random	0.5764898784545286
4	variance	0.6433401569409722
4	variance_mc	0.6337130379865619
4	log_det_mc	0.6441446478434417
4	inverse_trace_mc	0.6327999340219124
4	random	0.5454184319995024
4	variance	0.5903858780373815
4	variance_mc	0.6294438633249346
4	log_det_mc	0.6152443823670746
4	inverse_trace_mc	0.6397202684819998
4	random	0.5116477121557238
4	variance	0.6416350145327294
4	variance_mc	0.6159760635693426
4	log_det_mc	0.6320148454797897
4	inverse_trace_mc	0.6587079927171101
4	random	0.5761221957810793
4	variance	0.6142221988616335
4	variance_mc	0.6223915424152222
4	log_det_mc	0.6280253277117989
4	inverse_trace_mc	0.6109044924186766
4	random	0.5535593124137509
4	variance	0.5829350043595992
4	variance_mc	0.5119101127598484
4	log_det_mc	0.5887887349668434
4	inverse_trace_mc	0.5978999668886436
4	random	0.5021224920848995
4	variance	0.5485194926680697
4	variance_mc	0.5621834272289334
4	log_det_mc	0.6221537958152885
4	inverse_trace_mc	0.5991255107708126
4	random	0.48114175495382516
4	variance	0.623528807472748
4	variance_mc	0.5573557266027871
4	log_det_mc	0.6627484524923218
4	inverse_trace_mc	0.6754469245307044
4	random	0.3632669648238255
4	variance	0.6020796600440473
4	variance_mc	0.5660109681745373
4	log_det_mc	0.6000005356827823
4	inverse_trace_mc	0.5916092996617145
4	random	0.5433362675966878
4	variance	0.6927922790628855
4	variance_mc	0.6942218381886538
4	log_det_mc	0.6948866577773046
4	inverse_trace_mc	0.6955405193284395
4	random	0.4611184047033958
4	variance	0.6330127719767906
4	variance_mc	0.6184576815395659
4	log_det_mc	0.6060233919100287
4	inverse_trace_mc	0.6392822437442915
4	random	0.5240041824481309
4	variance	0.573453410844937
4	variance_mc	0.5540643688248479
4	log_det_mc	0.590296626828237
4	inverse_trace_mc	0.6174432435835447
4	random	0.5464579445718508
4	variance	0.5397871206125449
4	variance_mc	0.5437187574366238
4	log_det_mc	0.6391540146961106
4	inverse_trace_mc	0.6388728867882177
4	random	0.5012655452190757
4	variance	0.5673646366621906
4	variance_mc	0.6447708755587745
4	log_det_mc	0.6455788599471963
4	inverse_trace_mc	0.6461361448022971
4	random	0.5360357958823739
4	variance	0.6723458987189254
4	variance_mc	0.6598872177701837
4	log_det_mc	0.6376538964617207
4	inverse_trace_mc	0.6673162321281125
4	random	0.5162889266491856
4	variance	0.5869116053471105
4	variance_mc	0.6510146101984696
4	log_det_mc	0.6374543914292069
4	inverse_trace_mc	0.6036887926394163
4	random	0.560154122941181
4	variance	0.4765737145356425
4	variance_mc	0.5928418344476258
4	log_det_mc	0.6292002797559758
4	inverse_trace_mc	0.6009556452299789
4	random	0.5188131883457426
4	variance	0.5245732228592723
4	variance_mc	0.48717525031224856
4	log_det_mc	0.6181504388924225
4	inverse_trace_mc	0.6045865664347213
4	random	0.5218190364489993
4	variance	0.5114430431552771
4	variance_mc	0.5656220458175316
4	log_det_mc	0.5847738913996584
4	inverse_trace_mc	0.5353878729847917
4	random	0.5916060225627434
4	variance	0.6437807293176452
4	variance_mc	0.6025897121921145
4	log_det_mc	0.6302264044569873
