n_task	metric	accuracy
3	inverse_trace_mc	0.7835387158903035
3	random	0.4749541920128399
3	variance	0.6230822317778839
3	variance_mc	0.715370018975332
3	log_det_mc	0.7075215156586182
3	inverse_trace_mc	0.6877102779551062
3	random	0.5643564356435643
3	variance	0.8671838419761004
3	variance_mc	0.8722507769543391
3	log_det_mc	0.8936633707234583
3	inverse_trace_mc	0.8870173313936744
3	random	0.618376493361044
3	variance	0.682958107722998
3	variance_mc	0.6960894472540428
3	log_det_mc	0.8975285401991742
3	inverse_trace_mc	0.7009264494802314
3	random	0.6258930504438189
3	variance	0.8039418397713762
3	variance_mc	0.7517213983050848
3	log_det_mc	0.6984277582000542
3	inverse_trace_mc	0.7187368421052631
3	random	0.6656514830508474
3	variance	0.7175300940591647
3	variance_mc	0.5944665353599168
3	log_det_mc	0.6195955484061587
3	inverse_trace_mc	0.4951923076923077
3	random	0.6290481202229162
3	variance	0.8681619166978629
3	variance_mc	0.6122746553552492
3	log_det_mc	0.6202140611655249
3	inverse_trace_mc	0.6221276996484179
3	random	0.8654763360645714
3	variance	0.5815535815535815
3	variance_mc	0.8407427487123882
3	log_det_mc	0.8278740119466947
3	inverse_trace_mc	0.8423420388504637
3	random	0.8746272702629438
3	variance	0.8731849001730321
3	variance_mc	0.8726797055223056
3	log_det_mc	0.8585007740840006
3	inverse_trace_mc	0.8794728947932291
3	random	0.852150930171432
3	variance	0.7050552164071611
3	variance_mc	0.5782577054886964
3	log_det_mc	0.583529798782828
3	inverse_trace_mc	0.7187735784347349
3	random	0.6999740718333682
3	variance	0.7446305418719212
3	variance_mc	0.7438213504979354
3	log_det_mc	0.7720657720657721
3	inverse_trace_mc	0.7616557675244868
3	random	0.8231578947368421
3	variance	0.6491415252289814
3	variance_mc	0.6011293128918946
3	log_det_mc	0.6113307118991484
3	inverse_trace_mc	0.6340672483245436
4	random	0.7637556789500253
4	variance	0.7571585806879925
4	variance_mc	0.7864948422051485
4	log_det_mc	0.769576826012216
4	inverse_trace_mc	0.678723557865858
4	random	0.6569898439767852
4	variance	0.6965943818660179
4	variance_mc	0.7998517420311342
4	log_det_mc	0.7142374373095612
4	inverse_trace_mc	0.7532738660087304
4	random	0.7954049722791585
4	variance	0.65625
4	variance_mc	0.7619289192949907
4	log_det_mc	0.7354497354497354
4	inverse_trace_mc	0.7633269469176152
4	random	0.6547368421052632
4	variance	0.6951786542832588
4	variance_mc	0.6715038625370009
4	log_det_mc	0.6605443533656268
4	inverse_trace_mc	0.7689723166087037
4	random	0.6518936341659951
4	variance	0.6096879207785788
4	variance_mc	0.6389668898694726
4	log_det_mc	0.5903078013638289
4	inverse_trace_mc	0.5889028273235903
4	random	0.7315875613747955
4	variance	0.6854259190875179
4	variance_mc	0.66683408337352
4	log_det_mc	0.6774065076267474
4	inverse_trace_mc	0.6769081558377679
4	random	0.7105974786725451
4	variance	0.6120064464141821
4	variance_mc	0.7790531567562762
4	log_det_mc	0.7667878455312436
4	inverse_trace_mc	0.733819944753624
4	random	0.5393452256829254
4	variance	0.7186388490736317
4	variance_mc	0.7140211511282226
4	log_det_mc	0.794682447937335
4	inverse_trace_mc	0.7986111111111112
4	random	0.6165797459613672
4	variance	0.6176842105263158
4	variance_mc	0.7267910839578063
4	log_det_mc	0.7667878455312436
4	inverse_trace_mc	0.6121235575569941
4	random	0.7772461018067816
4	variance	0.7933044185416102
4	variance_mc	0.7618597618597618
4	log_det_mc	0.7873267414469166
4	inverse_trace_mc	0.7881355932203389
4	random	0.7116534214783037
4	variance	0.6527305297024443
4	variance_mc	0.7831390620764435
4	log_det_mc	0.7808795872944667
4	inverse_trace_mc	0.7050552164071611
4	random	0.7042815841402413
4	variance	0.7073649343710248
4	variance_mc	0.741856744930979
4	log_det_mc	0.7462103024898827
4	inverse_trace_mc	0.7507844016136263
4	random	0.7736470265450306
4	variance	0.6330863493872898
4	variance_mc	0.6370603732566923
4	log_det_mc	0.6076113885680399
4	inverse_trace_mc	0.6623144144163028
4	random	0.652426908600483
4	variance	0.7406619076525869
4	variance_mc	0.7526649984812763
4	log_det_mc	0.7132610631397505
4	inverse_trace_mc	0.7118055555555556
4	random	0.7313233607967888
4	variance	0.7604166666666667
4	variance_mc	0.782532634602634
4	log_det_mc	0.7279531053904313
4	inverse_trace_mc	0.7704514063284782
4	random	0.7562680029316016
4	variance	0.7498146775389177
4	variance_mc	0.7562680029316016
4	log_det_mc	0.7233702238293157
4	inverse_trace_mc	0.7586096857618869
4	random	0.6834291755691743
4	variance	0.6898251904975348
4	variance_mc	0.6670059869908038
4	log_det_mc	0.6831858948850593
4	inverse_trace_mc	0.6526727509778357
4	random	0.8216612936415393
4	variance	0.8089319162607018
4	variance_mc	0.8066212724206188
4	log_det_mc	0.6965346804528356
4	inverse_trace_mc	0.7292056115585528
4	random	0.7448497448497449
4	variance	0.6593231887349534
4	variance_mc	0.6029593893426367
4	log_det_mc	0.6565185933164243
4	inverse_trace_mc	0.7806873977086743
4	random	0.6448414093818131
4	variance	0.8358242232053524
4	variance_mc	0.8090905687888927
4	log_det_mc	0.8024244859687897
4	inverse_trace_mc	0.7302883839586903
4	random	0.7036239239417631
4	variance	0.7106716537145872
4	variance_mc	0.7548369522362168
4	log_det_mc	0.5974700611540065
4	inverse_trace_mc	0.5943999949693022
4	random	0.7187735784347349
4	variance	0.7588177339901478
4	variance_mc	0.763441488274291
4	log_det_mc	0.7062484819042993
4	inverse_trace_mc	0.754068496478018
4	random	0.7500330865974116
4	variance	0.6192586623690572
4	variance_mc	0.6350669858896643
4	log_det_mc	0.6466702822590437
4	inverse_trace_mc	0.6497376598237481
4	random	0.646848317428428
4	variance	0.7788697788697789
4	variance_mc	0.7268305427273916
4	log_det_mc	0.7947563559322034
4	inverse_trace_mc	0.7350186803601113
4	random	0.8413722240139203
4	variance	0.6463263158102602
4	variance_mc	0.6702807404498836
4	log_det_mc	0.7151698431675926
4	inverse_trace_mc	0.7029193128853797
4	random	0.727911582575647
4	variance	0.6197869458201356
4	variance_mc	0.7232451567902438
4	log_det_mc	0.717579689504771
4	inverse_trace_mc	0.7347459931433264
4	random	0.7453217550661335
4	variance	0.6628707138660344
4	variance_mc	0.7273006045384188
4	log_det_mc	0.6818786067205066
4	inverse_trace_mc	0.6710944740237321
4	random	0.6161600496277916
4	variance	0.6594480815194966
4	variance_mc	0.6640988627544683
4	log_det_mc	0.7289238275955543
4	inverse_trace_mc	0.7141584649981016
4	random	0.6779861812341478
4	variance	0.7176016739848964
4	variance_mc	0.7025046441364032
4	log_det_mc	0.7315181428648913
4	inverse_trace_mc	0.623607347184583
4	random	0.7775815318359115
4	variance	0.8162918162918162
4	variance_mc	0.8379971649503866
4	log_det_mc	0.8359858042237882
4	inverse_trace_mc	0.803469775006777
4	random	0.741856744930979
