n_task	metric	roi	avg_cos_sim_per_subject
6	log_det_mc	visual_cortex	0.26149066910147667
6	log_det_mc	visual_cortex	0.4385585203766823
6	log_det_mc	visual_cortex	0.4981776475906372
6	log_det_mc	visual_cortex	0.34219334870576856
6	log_det_mc	visual_cortex	0.3669391363859177
6	log_det_mc	visual_cortex	0.40499364882707595
6	log_det_mc	visual_cortex	0.38286143243312837
6	log_det_mc	visual_cortex	0.4997357949614525
6	log_det_mc	visual_cortex	0.4196903645992279
6	log_det_mc	visual_cortex	0.48429684787988664
6	log_det_mc	visual_cortex	0.39788695275783537
6	log_det_mc	visual_cortex	0.436387374997139
6	log_det_mc	visual_cortex	0.4446645721793175
6	log_det_mc	visual_cortex	0.33928725868463516
6	log_det_mc	visual_cortex	0.2653374709188938
6	log_det_mc	visual_cortex	0.4387413844466209
6	random	visual_cortex	0.35687374621629714
6	random	visual_cortex	0.3897159546613693
6	random	visual_cortex	0.2457094445824623
6	random	visual_cortex	0.4851615473628044
6	random	visual_cortex	0.3412714026868343
6	random	visual_cortex	0.3879808008670807
6	random	visual_cortex	0.45112437903881075
6	random	visual_cortex	0.44253285229206085
6	random	visual_cortex	0.2591269828379154
6	random	visual_cortex	0.4047027051448822
6	random	visual_cortex	0.4803315863013268
6	random	visual_cortex	0.29526521638035774
6	random	visual_cortex	0.32450581938028333
6	random	visual_cortex	0.37874589264392855
6	random	visual_cortex	0.3517935901880264
6	random	visual_cortex	0.48134885430336
6	random	visual_cortex	0.413104872405529
6	random	visual_cortex	0.4345697596669197
6	random	visual_cortex	0.3905082166194916
6	random	visual_cortex	0.41056989431381224
6	random	visual_cortex	0.4127187103033066
6	random	visual_cortex	0.3122282691299915
6	random	visual_cortex	0.23030727058649064
6	random	visual_cortex	0.39304066449403763
6	variance	visual_cortex	0.35783206224441527
6	variance	visual_cortex	0.4064455062150955
6	variance	visual_cortex	0.27019819244742393
6	variance	visual_cortex	0.52786845266819
6	variance	visual_cortex	0.333614481985569
6	variance	visual_cortex	0.395156192779541
6	variance	visual_cortex	0.4416754350066185
6	variance	visual_cortex	0.438472817838192
6	variance	visual_cortex	0.2504285655915737
6	variance	visual_cortex	0.43055927753448486
6	variance	visual_cortex	0.4858347028493881
6	variance	visual_cortex	0.32616146504878996
6	variance	visual_cortex	0.3439267255365849
6	variance	visual_cortex	0.40065155178308487
6	variance	visual_cortex	0.35715316236019135
6	variance	visual_cortex	0.4769515872001648
6	variance	visual_cortex	0.39480386674404144
6	variance	visual_cortex	0.4702353060245514
6	variance	visual_cortex	0.4114777833223343
6	variance	visual_cortex	0.44510898888111117
6	variance	visual_cortex	0.4212585657835007
6	variance	visual_cortex	0.3283598333597183
6	variance	visual_cortex	0.25372286662459376
6	variance	visual_cortex	0.4003668621182442
6	variance_mc	visual_cortex	0.3879170849919319
6	variance_mc	visual_cortex	0.40972769260406494
6	variance_mc	visual_cortex	0.28667552173137667
6	variance_mc	visual_cortex	0.5209511071443558
6	variance_mc	visual_cortex	0.3459158182144165
6	variance_mc	visual_cortex	0.4249194413423538
6	variance_mc	visual_cortex	0.4645396515727043
