n_task	metric	accuracy
3	log_det_mc	0.7225836093349727
3	inverse_trace_mc	0.6976755341239285
3	random	0.7276843903406878
3	variance	0.6235560528468919
3	variance_mc	0.4939633406974028
3	log_det_mc	0.47704414321621247
3	inverse_trace_mc	0.5041131207042798
3	random	0.8288729780490052
3	variance	0.833697605536694
3	variance_mc	0.8372373060316097
3	log_det_mc	0.8314371146039776
3	inverse_trace_mc	0.6526520348321485
3	random	0.6908754154484025
3	variance	0.7827261600533724
3	variance_mc	0.8050678344011996
3	log_det_mc	0.8032600656191523
3	inverse_trace_mc	0.7748307696340191
3	random	0.8514468818294789
3	variance	0.6638525023395259
3	variance_mc	0.6836856839617091
3	log_det_mc	0.6748220985486789
3	inverse_trace_mc	0.6905048796084733
3	random	0.8465601844796453
3	variance	0.7123727291841693
3	variance_mc	0.7769636066033754
3	log_det_mc	0.7644723941217109
3	inverse_trace_mc	0.7481849837436512
3	random	0.6252444165898646
3	variance	0.7709021282315871
3	variance_mc	0.7000712531595602
3	log_det_mc	0.7252165054900469
3	inverse_trace_mc	0.7328408045376305
3	random	0.8904181140004241
3	variance	0.8707226040085335
3	variance_mc	0.8235594243466156
3	log_det_mc	0.8264442376806285
3	inverse_trace_mc	0.8217445731672441
3	random	0.6415383457570657
3	variance	0.8908374758921926
3	variance_mc	0.8736023871003333
3	log_det_mc	0.8682792482014023
3	inverse_trace_mc	0.8603024397159885
3	random	0.7292703324094376
3	variance	0.7842497403023304
3	variance_mc	0.7625591303672443
3	log_det_mc	0.758992354958156
3	inverse_trace_mc	0.7231487770047474
3	random	0.6008912627316327
3	variance	0.6839752565946169
3	variance_mc	0.5622062773313247
3	log_det_mc	0.582569684518211
3	inverse_trace_mc	0.857951918100676
3	random	0.7074260060570247
3	variance	0.893043692998915
3	variance_mc	0.7923550888972677
3	log_det_mc	0.8160552396041496
3	inverse_trace_mc	0.6531855526053838
3	random	0.7962366525033056
3	variance	0.7201737712448906
3	variance_mc	0.7298178684106381
3	log_det_mc	0.8372141173253237
3	inverse_trace_mc	0.7961576848946261
3	random	0.8652739798403156
3	variance	0.7763093911764994
3	variance_mc	0.7979523134810738
3	log_det_mc	0.7941438477794789
3	inverse_trace_mc	0.7888094336161572
3	random	0.8228435122534681
3	variance	0.82346528319309
3	variance_mc	0.8076645350501714
3	log_det_mc	0.7831630269683345
3	inverse_trace_mc	0.8010614036068132
3	random	0.630532116097891
3	variance	0.6934679000864576
3	variance_mc	0.6528261119356293
3	log_det_mc	0.6144523054724295
3	inverse_trace_mc	0.5838722895565286
3	random	0.845252550159631
3	variance	0.5848247591577258
3	variance_mc	0.8055334031057042
3	log_det_mc	0.7886657668391241
3	inverse_trace_mc	0.7996280518454904
3	random	0.6345229572482927
3	variance	0.7756897879968535
3	variance_mc	0.8650357935467181
3	log_det_mc	0.8654744543943622
3	inverse_trace_mc	0.8654466895908826
3	random	0.6618975622374648
3	variance	0.7276999374253003
3	variance_mc	0.5757430366877244
3	log_det_mc	0.583783213068903
3	inverse_trace_mc	0.5386365185017404
3	random	0.6280062972624756
3	variance	0.7403796910709257
3	variance_mc	0.7980359415960003
3	log_det_mc	0.7830761562882969
3	inverse_trace_mc	0.7570491184458592
3	random	0.7071232988157085
3	variance	0.605036554054098
3	variance_mc	0.7872876621827344
3	log_det_mc	0.7718312296114713
3	inverse_trace_mc	0.7635161660998995
3	random	0.7065277583978209
3	variance	0.7703978365139443
3	variance_mc	0.7920904813568455
3	log_det_mc	0.7676433950779212
3	inverse_trace_mc	0.771543455646969
3	random	0.7884030630859213
3	variance	0.693300790324855
3	variance_mc	0.6835555136429383
3	log_det_mc	0.7064168258101229
3	inverse_trace_mc	0.6860247479421395
3	random	0.6952221771578935
3	variance	0.7719160069405547
3	variance_mc	0.6843547229478885
3	log_det_mc	0.6787040694669285
3	inverse_trace_mc	0.7162444871128147
3	random	0.8501807185294722
3	variance	0.8027713389459188
3	variance_mc	0.7949110478020422
3	log_det_mc	0.777898606842586
3	inverse_trace_mc	0.8145579569811172
3	random	0.8516438052510336
